Price,Close,High,Low,Open,Volume,SMA_5,SMA_10
2023-01-03,123.4706039428711,129.2260441509053,122.5821116407929,128.61397753423014,112117500,,
2023-01-04,124.74412536621094,127.01471627825023,123.48049504473303,125.26734659008874,89113600,,
2023-01-05,123.4212417602539,126.13607477860468,123.16457206143644,125.50425969688034,80962700,,
2023-01-06,127.96245574951172,128.62388619447051,123.29294570645555,124.39862621330377,87754700,,
2023-01-09,128.4856414794922,131.70396238313268,128.22897177101316,128.80155656407595,70790800,125.61681365966797,
2023-01-10,129.0582275390625,129.58144872233615,126.48160347682453,128.5942366688145,63896200,126.73433837890624,
2023-01-11,131.78294372558594,131.8026771210122,128.7916923794983,129.57158328133335,69458900,128.14210205078126,
2023-01-12,131.70396423339844,132.5430854442494,129.75915527463124,132.16795510561155,71379600,129.79864654541015,
2023-01-13,133.03668212890625,133.19463966232263,129.97633400317605,130.3415976184994,57809700,130.81349182128906,
2023-01-17,134.2016143798828,135.53434166770566,132.4147629011091,133.10580835372033,63646600,131.9566864013672,128.78675003051757
2023-01-18,133.48094177246094,136.83745656269951,133.30323577852656,135.0703537024429,69672800,132.8412292480469,129.78778381347655
2023-01-19,133.54017639160156,134.50763996952077,132.05935833689125,132.3653916580124,58280400,133.19267578125,130.66738891601562
2023-01-20,136.10693359375,136.2550244536786,132.50361529041555,133.55005775379874,80223600,134.07326965332032,131.93595809936522
2023-01-23,139.3054962158203,141.4872415250396,136.136538833656,136.3537266947968,81760300,135.32703247070313,133.07026214599608
2023-01-24,140.70733642578125,141.32928485597137,138.50585770726414,138.51572440513698,66435100,136.6281768798828,134.292431640625
2023-01-25,140.0458984375,140.60860145852004,137.03489874919626,139.0883015683729,65799300,137.94116821289063,135.39119873046874
2023-01-26,142.11907958984375,142.4053645091988,140.08540973782974,141.33917349067576,54105100,139.65694885253907,136.42481231689453
2023-01-27,144.06385803222656,145.34723680622537,141.25031251687773,141.3292912944412,70555800,141.2483337402344,137.66080169677736
2023-01-30,141.17132568359375,143.68871946900538,141.02324989890042,143.10626796433064,64015300,141.62149963378906,138.4742660522461
2023-01-31,142.44483947753906,142.49420309949798,140.4605484095562,140.87517571941848,65874500,141.96900024414063,139.29858856201173
2023-02-01,143.57025146484375,144.7351696002277,139.51282411039048,142.1289302044529,77663600,142.6738708496094,140.30751953125
2023-02-02,148.89134216308594,149.24672407231745,146.2752209542802,146.9958815985471,118339000,144.0283233642578,141.84263610839844
2023-02-03,152.5242462158203,155.367421451088,145.93954431951425,146.13698369670587,154357300,145.72040100097655,143.48436737060547
2023-02-06,149.78968811035156,151.14217893420934,148.85183962560956,150.61895772492184,69858300,147.44407348632814,144.53278656005858
2023-02-07,152.67234802246094,153.24493285853742,148.71363285221915,148.71363285221915,83322600,149.4895751953125,145.72928771972656
2023-02-08,149.97727966308594,152.60326780122008,149.23687049310803,151.91222225530666,64120100,150.77098083496094,146.72242584228516
2023-02-09,148.94068908691406,152.35644968138112,148.49644664158131,151.81347999768036,56007100,150.78085021972657,147.4045867919922
2023-02-10,149.30650329589844,149.6327824911062,147.53670230127932,147.77400037597405,57450700,150.13730163574218,147.92885131835936
2023-02-13,152.11447143554688,152.51983488560623,149.21751602061343,149.2471763928944,62199000,150.60225830078124,149.02316589355468
2023-02-14,151.4718017578125,152.03537903023067,149.15820209418638,150.40398304690967,61707600,150.36214904785157,149.92586212158204
2023-02-15,153.57778930664062,153.74586979762776,151.15542974516777,151.38283098748437,65573800,151.0822509765625,150.9266159057617
2023-02-16,151.97605895996094,154.5664988468429,151.6201193880744,151.77830301928833,68167900,151.68932495117187,151.2350875854492
2023-02-17,150.8291473388672,151.2740680510971,149.1483273778538,150.63140647639398,59144100,151.9938537597656,151.0655776977539
2023-02-21,146.80503845214844,149.59323413897312,146.735835945734,148.50563686680903,58867200,150.93196716308594,150.7671127319336
2023-02-22,147.23020935058594,148.2584708875877,145.4999504020457,147.19065212608928,51011300,150.08364868164062,150.2228988647461
2023-02-23,147.71469116210938,148.64408993049327,145.5790684516341,148.39691004897256,48394200,148.91102905273436,149.99664001464845
2023-02-24,145.05503845214844,145.52961956815125,144.07620075664735,145.4505202010405,55469600,147.52682495117188,149.6080749511719
2023-02-27,146.2513885498047,147.4872879410314,145.78668917177046,146.0437659006096,44998500,146.61127319335938,149.3025634765625
2023-02-28,145.7471160888672,147.39827551462352,145.17365708267755,145.39117653628946,50547000,146.39968872070312,148.66582794189452
2023-03-01,143.67080688476562,145.56914623363537,143.37418806129784,145.17366452678502,55479000,145.68780822753905,147.88572845458984
2023-03-02,144.26405334472656,145.05503189340783,142.27671766674902,142.75131384795435,52238100,144.9976806640625,146.95435485839843
2023-03-03,149.32630920410156,149.40540857679258,145.66804996545298,146.37003238225878,70732300,145.85193481445313,146.6893798828125
